
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0006"
"0.0200","0.0012","0.1198"
"0.0400","0.0207","0.2067"
"0.0600","0.0638","0.1211"
"0.0800","0.1195","0.1407"
"0.1000","0.1829","0.0966"
"0.1200","0.2469","0.0863"
"0.1400","0.3088","0.1438"
"0.1600","0.3700","0.1493"
"0.1800","0.4305","0.1640"
"0.2000","0.4906","0.1992"
"0.2200","0.5509","0.2061"
"0.2400","0.6111","0.2444"
"0.2600","0.6711","0.2418"
"0.2800","0.7312","0.2345"
"0.3000","0.7914","0.2634"
"0.3200","0.8513","0.2997"
"0.3400","0.9113","0.3207"
"0.3600","0.9715","0.3065"
"0.3800","1.0313","0.3078"
"0.4000","1.0913","0.3334"
"0.4200","1.1515","0.3575"
"0.4400","1.2114","0.3611"
"0.4600","1.2713","0.3678"
"0.4800","1.3314","0.3676"
"0.5000","1.3914","0.3611"
"0.5200","1.4512","0.3740"
"0.5400","1.5114","0.3843"
"0.5600","1.5714","0.3956"
"0.5800","1.6312","0.3985"
"0.6000","1.6914","0.4140"
"0.6200","1.7515","0.4279"
"0.6400","1.8113","0.4437"
"0.6600","1.8714","0.4274"
"0.6800","1.9315","0.4469"
"0.7000","1.9913","0.4668"
"0.7200","2.0513","0.4732"
"0.7400","2.1115","0.4899"
"0.7600","2.1713","0.4688"
"0.7800","2.2313","0.5028"
"0.8000","2.2915","0.5207"
"0.8200","2.3513","0.5108"
"0.8400","2.4113","0.5140"
"0.8600","2.4715","0.5151"
"0.8800","2.5314","0.5622"
"0.9000","2.5914","0.5472"
"0.9200","2.6516","0.5386"
"0.9400","2.7115","0.5543"
"0.9600","2.7713","0.5680"
"0.9800","2.8314","0.5841"
"1.0000","2.8913","0.5773"
"1.0200","2.9511","0.5822"
"1.0400","3.0114","0.5814"
"1.0600","3.0714","0.6152"
"1.0800","3.1313","0.6361"
"1.1000","3.1914","0.5944"
"1.1200","3.2514","0.6181"
"1.1400","3.3113","0.6527"
"1.1600","3.3714","0.6561"
"1.1800","3.4315","0.6432"
"1.2000","3.4913","0.6632"
"1.2200","3.5514","0.6810"
"1.2400","3.6115","0.6521"
"1.2600","3.6713","0.6869"
"1.2800","3.7313","0.6832"
"1.3000","3.7915","0.6892"
"1.3200","3.8513","0.6931"
"1.3400","3.9114","0.6970"
