
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0266"
"0.0200","0.0001","0.0218"
"0.0400","0.0008","0.0223"
"0.0600","0.0032","-0.0146"
"0.0800","0.0058","-0.0078"
"0.1000","0.0087","0.0191"
"0.1200","0.0146","0.0456"
"0.1400","0.0224","0.0005"
"0.1600","0.0302","-0.0069"
"0.1800","0.0375","-0.0022"
"0.2000","0.0442","-0.0073"
"0.2200","0.0503","0.0250"
"0.2400","0.0563","0.0133"
"0.2600","0.0622","-0.0172"
"0.2800","0.0683","0.0113"
"0.3000","0.0746","0.0325"
"0.3200","0.0807","-0.0017"
"0.3400","0.0867","-0.0008"
"0.3600","0.0926","0.0215"
"0.3800","0.0985","-0.0040"
"0.4000","0.1044","0.0352"
"0.4200","0.1104","0.0195"
"0.4400","0.1165","-0.0134"
"0.4600","0.1225","0.0153"
"0.4800","0.1285","0.0239"
"0.5000","0.1344","0.0206"
"0.5200","0.1404","0.0183"
"0.5400","0.1465","0.0133"
"0.5600","0.1525","0.0073"
"0.5800","0.1586","0.0191"
"0.6000","0.1646","0.0159"
"0.6200","0.1706","0.0453"
"0.6400","0.1767","0.0021"
"0.6600","0.1828","0.0204"
"0.6800","0.1889","0.0248"
"0.7000","0.1949","0.0258"
"0.7200","0.2008","0.0130"
"0.7400","0.2068","0.0225"
"0.7600","0.2129","0.0257"
"0.7800","0.2189","0.0393"
"0.8000","0.2248","0.0247"
"0.8200","0.2306","0.0000"
"0.8400","0.2365","0.0354"
"0.8600","0.2425","0.0572"
"0.8800","0.2486","0.0112"
"0.9000","0.2547","0.0363"
"0.9200","0.2608","0.0147"
"0.9400","0.2667","0.0385"
"0.9600","0.2725","0.0450"
"0.9800","0.2784","0.0460"
"1.0000","0.2846","0.0133"
"1.0200","0.2908","0.0290"
"1.0400","0.2969","0.0584"
"1.0600","0.3027","0.0360"
"1.0800","0.3084","0.0298"
"1.1000","0.3143","0.0319"
"1.1200","0.3203","0.0589"
"1.1400","0.3265","0.0294"
"1.1600","0.3326","0.0469"
"1.1800","0.3386","0.0501"
"1.2000","0.3445","0.0293"
"1.2200","0.3505","0.0409"
"1.2400","0.3565","0.0540"
"1.2600","0.3627","0.0449"
"1.2800","0.3689","0.0607"
"1.3000","0.3750","0.0421"
