
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0297"
"0.0200","0.0012","0.1360"
"0.0400","0.0214","0.2427"
"0.0600","0.0647","0.1848"
"0.0800","0.1208","0.1994"
"0.1000","0.1841","0.1983"
"0.1200","0.2480","0.2123"
"0.1400","0.3103","0.2886"
"0.1600","0.3711","0.3194"
"0.1800","0.4318","0.3521"
"0.2000","0.4922","0.3581"
"0.2200","0.5522","0.4135"
"0.2400","0.6124","0.4552"
"0.2600","0.6726","0.4639"
"0.2800","0.7326","0.5029"
"0.3000","0.7926","0.5014"
"0.3200","0.8527","0.5549"
"0.3400","0.9126","0.5701"
"0.3600","0.9726","0.5908"
"0.3800","1.0328","0.6081"
"0.4000","1.0927","0.6513"
"0.4200","1.1526","0.6773"
"0.4400","1.2127","0.6920"
"0.4600","1.2726","0.6802"
"0.4800","1.3325","0.7348"
"0.5000","1.3927","0.7683"
"0.5200","1.4527","0.7776"
"0.5400","1.5126","0.7959"
"0.5600","1.5727","0.8071"
"0.5800","1.6327","0.8378"
"0.6000","1.6926","0.8815"
"0.6200","1.7527","0.8862"
"0.6400","1.8128","0.8822"
"0.6600","1.8727","0.9304"
"0.6800","1.9328","0.9329"
"0.7000","1.9928","0.9609"
"0.7200","2.0526","0.9740"
"0.7400","2.1126","0.9897"
"0.7600","2.1728","1.0039"
"0.7800","2.2327","1.0340"
"0.8000","2.2927","1.0576"
"0.8200","2.3528","1.0696"
"0.8400","2.4126","1.0804"
"0.8600","2.4726","1.1021"
"0.8800","2.5328","1.1274"
"0.9000","2.5927","1.1433"
"0.9200","2.6525","1.1564"
"0.9400","2.7127","1.1862"
"0.9600","2.7728","1.2009"
"0.9800","2.8326","1.2017"
"1.0000","2.8928","1.2108"
"1.0200","2.9528","1.2555"
"1.0400","3.0126","1.2648"
"1.0600","3.0727","1.2706"
"1.0800","3.1327","1.2871"
"1.1000","3.1926","1.3002"
"1.1200","3.2528","1.3312"
"1.1400","3.3128","1.3496"
"1.1600","3.3726","1.3734"
"1.1800","3.4327","1.3703"
"1.2000","3.4929","1.3803"
"1.2200","3.5527","1.4057"
"1.2400","3.6128","1.4089"
"1.2600","3.6729","1.4466"
"1.2800","3.7328","1.4462"
"1.3000","3.7928","1.4530"
"1.3200","3.8528","1.4918"
"1.3400","3.9126","1.5075"
"1.3600","3.9725","1.5114"
"1.3800","4.0327","1.5106"
"1.4000","4.0927","1.5173"
"1.4200","4.1526","1.5735"
"1.4400","4.2128","1.5728"
"1.4600","4.2728","1.5917"
"1.4800","4.3327","1.5782"
"1.5000","4.3928","1.6327"
"1.5200","4.4528","1.6277"
"1.5400","4.5127","1.6478"
"1.5600","4.5728","1.6470"
"1.5800","4.6328","1.6832"
"1.6000","4.6926","1.6869"
"1.6200","4.7528","1.6952"
"1.6400","4.8128","1.7135"
"1.6600","4.8726","1.7116"
"1.6800","4.9327","1.7434"
