
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0154"
"0.0200","0.0000","0.0018"
"0.0400","-0.0001","-0.0113"
"0.0600","-0.0004","-0.0068"
"0.0800","-0.0005","0.0023"
"0.1000","-0.0004","0.0111"
"0.1200","-0.0002","0.0118"
"0.1400","0.0002","-0.0114"
"0.1600","0.0007","-0.0041"
"0.1800","0.0015","0.0105"
"0.2000","0.0025","-0.0043"
"0.2200","0.0036","0.0082"
"0.2400","0.0047","-0.0082"
"0.2600","0.0056","-0.0052"
"0.2800","0.0065","0.0158"
"0.3000","0.0073","-0.0001"
"0.3200","0.0081","-0.0078"
"0.3400","0.0088","-0.0128"
"0.3600","0.0095","0.0161"
"0.3800","0.0101","0.0030"
"0.4000","0.0107","-0.0022"
"0.4200","0.0113","-0.0046"
"0.4400","0.0119","-0.0045"
"0.4600","0.0125","0.0030"
"0.4800","0.0131","0.0009"
"0.5000","0.0136","0.0068"
"0.5200","0.0142","-0.0055"
"0.5400","0.0148","0.0087"
"0.5600","0.0155","-0.0067"
"0.5800","0.0161","-0.0065"
"0.6000","0.0167","0.0136"
"0.6200","0.0173","-0.0111"
"0.6400","0.0179","0.0007"
"0.6600","0.0185","-0.0005"
"0.6800","0.0190","0.0132"
"0.7000","0.0197","0.0008"
"0.7200","0.0203","-0.0283"
"0.7400","0.0209","0.0114"
"0.7600","0.0215","0.0125"
"0.7800","0.0221","0.0082"
"0.8000","0.0227","-0.0021"
"0.8200","0.0233","-0.0143"
"0.8400","0.0239","0.0029"
"0.8600","0.0245","0.0095"
"0.8800","0.0251","-0.0038"
"0.9000","0.0257","0.0130"
"0.9200","0.0263","-0.0105"
"0.9400","0.0269","0.0009"
"0.9600","0.0275","-0.0021"
"0.9800","0.0281","0.0089"
"1.0000","0.0287","-0.0093"
"1.0200","0.0293","-0.0066"
"1.0400","0.0299","0.0176"
"1.0600","0.0305","0.0091"
"1.0800","0.0310","-0.0184"
"1.1000","0.0317","-0.0198"
"1.1200","0.0323","0.0216"
"1.1400","0.0329","0.0048"
"1.1600","0.0335","0.0011"
"1.1800","0.0340","-0.0042"
"1.2000","0.0347","-0.0151"
"1.2200","0.0353","0.0054"
"1.2400","0.0359","0.0187"
"1.2600","0.0366","-0.0016"
"1.2800","0.0372","-0.0026"
"1.3000","0.0378","-0.0112"
